,,mse,mse,coverage,coverage,aic,aic,interval_score,interval_score
,,mean,std,mean,std,mean,std,mean,std
scenario,n_knots,,,,,,,,
Linear,3,0.0055,0.0102,98.5333,4.6441,-670.3627,204.9075,1.537,0.6228
Linear,4,2.9239,15.5996,99.3667,1.6709,-403.3527,252.6707,770.1562,343.2933
Linear,5,7.432,27.8193,99.2667,1.9286,-44.5922,196.7012,500.8048,230.3969
Linear,7,421.1767,1169.9889,78.4211,33.3355,139.4376,399.8535,inf,
Quadratic,3,0.0227,0.0143,98.2,5.5733,-387.339,47.7823,1.5868,0.6051
Quadratic,4,2.4865,13.2308,99.3667,1.6709,-400.5987,243.5003,769.9587,341.7553
Quadratic,5,7.4035,27.6404,99.3,1.8597,-44.9737,196.3581,500.7192,230.3924
Quadratic,7,440.0451,1234.9516,75.8421,33.4934,137.8641,400.0644,inf,
U-Shaped,3,0.0651,0.0176,98.5333,3.9717,-272.3947,25.7286,1.7125,0.662
U-Shaped,4,3.9087,20.9187,99.3667,1.6709,-379.699,244.7598,774.4975,346.8874
U-Shaped,5,7.4907,28.1816,99.2667,1.9286,-43.8886,197.4936,501.0114,230.4036
U-Shaped,7,392.5188,1042.4628,83.0,32.1092,121.4241,414.968,inf,
