study,dose,rr,log_rr,se,variance,n_cases,person_years
Cho_2004,0.0,1.0,0.0,0.0,0.0,461,120000
Cho_2004,12.5,1.02,0.01980262729617973,0.0697799910881674,0.004869247156264723,461,120000
Cho_2004,37.5,1.15,0.13976194237515863,0.08171104585914735,0.006676695015395681,461,120000
Cho_2004,62.5,1.31,0.2700271372130602,0.09705709334253752,0.009420079368102042,461,120000
Pedersen_2003,0.0,1.0,0.0,0.0,0.0,485,95000
Pedersen_2003,5.0,1.01,0.009950330853168092,0.0704728001602444,0.004966415562425743,485,95000
Pedersen_2003,15.0,1.08,0.0769610411361284,0.06796037602155512,0.004618612708991165,485,95000
Pedersen_2003,30.0,1.18,0.16551443847757333,0.07525717156730967,0.005663641872311483,485,95000
Pedersen_2003,50.0,1.35,0.30010459245033816,0.08264593720841366,0.006830350937057054,485,95000
Terry_2001,0.0,1.0,0.0,0.0,0.0,398,87000
Terry_2001,7.0,0.98,-0.020202707317519466,0.07263687811786328,0.005276116062709325,398,87000
Terry_2001,21.0,1.12,0.11332868530700327,0.07929824789115188,0.006288212118606573,398,87000
Terry_2001,42.0,1.28,0.2468600779315258,0.07912115517955089,0.0062601571969465725,398,87000
Kune_1992,0.0,1.0,0.0,0.0,0.0,256,65000
Kune_1992,10.0,1.05,0.04879016416943204,0.07760494244974273,0.006022527092627881,256,65000
Kune_1992,30.0,1.2,0.1823215567939546,0.06786239175270448,0.004605304214397533,256,65000
Kune_1992,60.0,1.45,0.371563556432483,0.09624852835241533,0.009263779210005698,256,65000
Wu_1987,0.0,1.0,0.0,0.0,0.0,189,42000
Wu_1987,15.0,1.08,0.0769610411361284,0.0822445177065181,0.006764160692777769,189,42000
Wu_1987,40.0,1.25,0.22314355131420976,0.08928213157855504,0.007971299019210414,189,42000
Gerhardsson_1993,0.0,1.0,0.0,0.0,0.0,305,78000
Gerhardsson_1993,8.0,1.03,0.02955880224154443,0.0741038580049463,0.005491381771217244,305,78000
Gerhardsson_1993,25.0,1.15,0.13976194237515863,0.07082442260160193,0.005016098836850303,305,78000
Gerhardsson_1993,50.0,1.38,0.3220834991691132,0.08084482417518353,0.00653588559591634,305,78000
Kato_1997,0.0,1.0,0.0,0.0,0.0,421,92000
Kato_1997,5.0,0.99,-0.01005033585350145,0.07190080411759889,0.005169725632757325,421,92000
Kato_1997,20.0,1.1,0.09531017980432493,0.0740587231780741,0.005484694478766611,421,92000
Kato_1997,45.0,1.26,0.23111172096338664,0.07864830603431543,0.006185556042067337,421,92000
Giovannucci_1995,0.0,1.0,0.0,0.0,0.0,550,135000
Giovannucci_1995,12.0,1.04,0.03922071315328133,0.06843469045782634,0.004683306858058507,550,135000
Giovannucci_1995,35.0,1.18,0.16551443847757333,0.07525717156730967,0.005663641872311483,550,135000
Giovannucci_1995,65.0,1.4,0.3364722366212129,0.0781271576593664,0.0061038527639314935,550,135000
Goldbohm_1994,0.0,1.0,0.0,0.0,0.0,312,82000
Goldbohm_1994,10.0,1.06,0.058268908123975824,0.06714057460292987,0.004507856758011591,312,82000
Goldbohm_1994,30.0,1.22,0.19885085874516517,0.06253123929412878,0.003910155887659595,312,82000
Bostick_1994,0.0,1.0,0.0,0.0,0.0,287,71000
Bostick_1994,15.0,1.07,0.06765864847381486,0.06651180164878895,0.004423819758567845,287,71000
Bostick_1994,40.0,1.2,0.1823215567939546,0.06786239175270448,0.004605304214397533,287,71000
Bostick_1994,70.0,1.48,0.3920420877760237,0.08583475424010534,0.0073676050354592815,287,71000
