,,mse,mse,coverage,coverage,interval_score,interval_score,sharpness,sharpness,calibration,calibration
,,mean,std,mean,std,mean,std,mean,std,mean,std
scenario,method,,,,,,,,,,
1_linear_low_het,OneStage_RCS,0.0012,0.0015,91.48,23.1113,0.1694,0.1419,0.1231,0.0114,0.0463,0.1412
1_linear_low_het,TwoStage_RCS_DL_HKSJ,0.0816,0.4685,99.36,1.8379,163.2273,81.4123,163.2236,81.4116,0.0037,0.013
1_linear_low_het,TwoStage_RCS_Fixed,0.0347,0.1416,96.32,4.3539,23.832,0.9147,23.8045,0.9172,0.0275,0.0649
2_quadratic_mod_het,OneStage_RCS,0.0046,0.0067,84.34,33.2477,0.4218,0.549,0.2194,0.045,0.2023,0.5586
2_quadratic_mod_het,TwoStage_RCS_DL_HKSJ,1.503,10.251,99.44,1.5539,764.4171,340.7634,764.4104,340.7649,0.0067,0.0203
2_quadratic_mod_het,TwoStage_RCS_Fixed,0.3376,1.99,92.7,4.9621,23.9275,0.9406,23.8045,0.9172,0.1231,0.1927
3_log_high_het,OneStage_RCS,0.0463,0.022,54.74,10.7415,2.4604,1.1959,0.3345,0.0547,2.1259,1.2153
3_log_high_het,TwoStage_RCS_DL_HKSJ,1.3637,8.6515,97.5,1.6067,1689.1259,652.9702,1689.037,653.0285,0.0889,0.1216
3_log_high_het,TwoStage_RCS_Fixed,0.3089,1.2504,83.1,2.4599,25.2182,1.1362,23.8045,0.9172,1.4138,0.5272
4_threshold_mod_het,OneStage_RCS,0.0047,0.0065,84.96,29.923,0.4216,0.5193,0.219,0.0446,0.2026,0.5283
4_threshold_mod_het,TwoStage_RCS_DL_HKSJ,1.6242,11.0792,99.44,1.5539,765.1217,341.2609,765.1151,341.262,0.0065,0.0198
4_threshold_mod_het,TwoStage_RCS_Fixed,0.3618,2.1298,92.74,5.0053,23.9256,0.9405,23.8045,0.9172,0.1212,0.1921
5_u_shaped,OneStage_RCS,0.0051,0.0066,84.78,28.7809,0.4351,0.4963,0.2201,0.0446,0.215,0.5035
5_u_shaped,TwoStage_RCS_DL_HKSJ,2.3598,16.2067,99.46,1.5012,770.8761,344.7116,770.8696,344.7132,0.0065,0.0193
5_u_shaped,TwoStage_RCS_Fixed,0.5045,3.0696,93.0,5.0061,23.9275,0.9441,23.8045,0.9172,0.123,0.1969
6_j_shaped,OneStage_RCS,0.0056,0.0066,84.86,27.7334,0.4599,0.5719,0.2195,0.0432,0.2404,0.5825
6_j_shaped,TwoStage_RCS_DL_HKSJ,1.2149,8.2577,99.46,1.5012,767.1938,339.7411,767.1874,339.7415,0.0063,0.02
6_j_shaped,TwoStage_RCS_Fixed,0.2783,1.613,92.46,5.0919,23.9347,0.9421,23.8045,0.9172,0.1302,0.1938
7_quadratic_dose_dep_het,OneStage_RCS,0.0064,0.0065,72.88,28.5097,0.7111,0.6785,0.1717,0.0764,0.5395,0.7115
7_quadratic_dose_dep_het,TwoStage_RCS_DL_HKSJ,0.0764,0.18,99.84,0.6809,394.5136,131.7719,394.513,131.7722,0.0005,0.003
7_quadratic_dose_dep_het,TwoStage_RCS_Fixed,0.076,0.1799,95.88,4.064,23.9846,0.8012,23.9535,0.7964,0.0311,0.0568
